epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,2.061544,0.231812,1.902401,0.310049,0.0007,183.0819
2,1.782909,0.330979,1.856908,0.329657,0.0007,106.9007
3,1.651391,0.376324,1.675497,0.397059,0.0007,109.2026
4,1.552199,0.411499,1.565357,0.4375,0.0007,109.5138
5,1.470811,0.452748,1.539379,0.453431,0.0007,109.2082
6,1.412129,0.477892,1.486879,0.442402,0.0007,108.584
7,1.362665,0.503037,1.398429,0.485294,0.0007,108.3794
8,1.287181,0.530018,1.380719,0.507353,0.0007,104.7615
9,1.255413,0.544286,1.421349,0.493873,0.0007,104.193
10,1.188771,0.569713,1.184209,0.591912,0.0007,101.6667
11,1.16379,0.575929,1.266053,0.57598,0.0007,104.3827
12,1.126943,0.59175,1.179198,0.629902,0.0007,102.922
13,1.082974,0.614917,1.283469,0.557598,0.0007,110.8007
14,1.046024,0.626218,1.257801,0.574755,0.0007,102.6653
15,1.018627,0.636389,1.194657,0.625,0.00035,104.6026
16,0.934832,0.673965,1.23333,0.632353,0.00035,102.5823
17,0.929192,0.671988,1.112874,0.639706,0.00035,103.2847
18,0.912667,0.680605,1.17206,0.621324,0.00035,106.5135
19,0.903285,0.683712,1.064253,0.651961,0.00035,101.7943
20,0.873307,0.697697,1.186921,0.622549,0.00035,101.0236
21,0.882949,0.688657,1.092951,0.654412,0.00035,101.9848
22,0.866633,0.693883,1.116957,0.653186,0.000175,107.5896
23,0.822527,0.710835,1.067901,0.661765,0.000175,103.4207
24,0.818667,0.711965,1.097215,0.658088,0.000175,111.7447
25,0.805415,0.727786,1.108396,0.672794,8.75e-05,105.1179
