epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,2.001517,0.251024,1.919621,0.319853,0.001,183.011
2,1.691724,0.358666,1.718924,0.390931,0.001,112.4584
3,1.520824,0.43961,1.558477,0.466912,0.001,111.241
4,1.406987,0.479588,1.554024,0.477941,0.001,109.9519
5,1.315082,0.517587,1.289111,0.534314,0.001,91.5665
6,1.234108,0.550078,1.303773,0.568627,0.001,90.743
7,1.160358,0.572962,1.26315,0.566176,0.001,91.2235
8,1.119424,0.597259,1.265116,0.589461,0.001,89.3373
9,1.062498,0.616895,1.189549,0.572304,0.001,90.3305
10,1.040272,0.632151,1.163986,0.63848,0.001,89.1068
11,0.999333,0.647267,1.158459,0.612745,0.001,89.6475
12,0.960425,0.661534,1.073467,0.632353,0.001,110.2423
13,0.940449,0.673541,1.049271,0.669118,0.001,105.2609
14,0.901022,0.682441,1.066571,0.724265,0.001,104.2957
15,0.87716,0.688939,1.090662,0.643382,0.001,104.0677
16,0.846214,0.70137,1.008495,0.686275,0.001,103.5678
17,0.826309,0.708857,1.043977,0.675245,0.001,103.5111
18,0.811319,0.712671,1.029111,0.653186,0.001,98.4183
19,0.773129,0.731742,1.033487,0.710784,0.0005,95.1791
20,0.716494,0.753638,0.997999,0.708333,0.0005,93.8861
21,0.691727,0.767623,0.963627,0.705882,0.0005,94.4063
22,0.705656,0.755474,0.963872,0.740196,0.0005,93.8967
23,0.684385,0.761124,1.015656,0.699755,0.0005,93.4311
24,0.666098,0.771719,0.933708,0.745098,0.0005,93.2849
25,0.660679,0.772284,0.980287,0.737745,0.0005,92.7033
